    HandType, Income Rate, Error, SD, Iteration
AJs, 0.7911, 0.002502, 3.740, 7
AKo, 0.6172, 0.001952, 3.584, 7
AKs, 1.003, 0.003172, 3.911, 7
AQo, 0.4861, 0.001537, 3.454, 7
AQs, 0.8880, 0.002808, 3.822, 7
ATo, 0.3251, 0.001028, 3.275, 7
J2o, -0.3894, -0.001231, 2.295, 7
ATs, 0.7239, 0.002289, 3.681, 7
J2s, 0.03245, 0.0001026, 2.967, 7
J3o, -0.3612, -0.001142, 2.334, 7
J3s, 0.03115, 9.850e-05, 2.955, 7
J4o, -0.3231, -0.001022, 2.386, 7
J5o, -0.3236, -0.001023, 2.368, 7
J4s, 0.05164, 0.0001633, 2.969, 7
J5s, 0.09598, 0.0003035, 3.017, 7
J6o, -0.2957, -0.0009350, 2.418, 7
J7o, -0.1808, -0.0005718, 2.614, 7
J6s, 0.1135, 0.0003588, 3.042, 7
J7s, 0.2183, 0.0006903, 3.170, 7
J8o, -0.05681, -0.0001797, 2.804, 7
J8s, 0.3446, 0.001090, 3.309, 7
J9o, 0.07505, 0.0002373, 2.976, 7
J9s, 0.4762, 0.001506, 3.447, 7
JJ, 0.9114, 0.002882, 3.905, 7
JTo, 0.2969, 0.0009387, 3.238, 7
JTs, 0.6597, 0.002086, 3.613, 7
K2o, -0.2420, -0.0007651, 2.564, 7
K2s, 0.1774, 0.0005610, 3.159, 7
K3o, -0.2359, -0.0007460, 2.553, 7
K3s, 0.2095, 0.0006625, 3.186, 7
K4o, -0.1930, -0.0006104, 2.612, 7
K4s, 0.2303, 0.0007284, 3.191, 7
K5o, -0.1598, -0.0005055, 2.649, 7
K5s, 0.2452, 0.0007755, 3.201, 7
K6o, -0.1263, -0.0003994, 2.692, 7
K6s, 0.2889, 0.0009137, 3.247, 7
K7o, -0.1062, -0.0003359, 2.724, 7
K7s, 0.3287, 0.001039, 3.293, 7
K8o, -0.05025, -0.0001589, 2.813, 7
K8s, 0.3596, 0.001137, 3.327, 7
K9o, 0.07624, 0.0002411, 2.987, 7
K9s, 0.4969, 0.001571, 3.475, 7
KJo, 0.3628, 0.001147, 3.318, 7
KJs, 0.7178, 0.002270, 3.676, 7
KK, 1.592, 0.005033, 4.367, 7
KQo, 0.4614, 0.001459, 3.423, 7
KQs, 0.8276, 0.002617, 3.773, 7
KTo, 0.2908, 0.0009196, 3.233, 7
KTs, 0.6654, 0.002104, 3.623, 7
Q2o, -0.3199, -0.001012, 2.433, 7
Q2s, 0.09891, 0.0003128, 3.059, 7
Q3o, -0.2927, -0.0009255, 2.457, 7
Q3s, 0.1272, 0.0004023, 3.084, 7
Q4o, -0.2597, -0.0008214, 2.500, 7
Q4s, 0.1415, 0.0004475, 3.086, 7
Q5o, -0.2448, -0.0007741, 2.510, 7
Q5s, 0.1651, 0.0005220, 3.107, 7
Q6o, -0.2180, -0.0006893, 2.556, 7
Q6s, 0.1773, 0.0005607, 3.117, 7
Q7o, -0.1895, -0.0005993, 2.596, 7
Q7s, 0.2138, 0.0006762, 3.160, 7
Q8o, -0.07384, -0.0002335, 2.776, 7
Q8s, 0.3203, 0.001013, 3.286, 7
Q9o, 0.04542, 0.0001436, 2.945, 7
Q9s, 0.4605, 0.001456, 3.436, 7
QJo, 0.3514, 0.001111, 3.307, 7
QJs, 0.7107, 0.002247, 3.667, 7
QQ, 1.245, 0.003937, 4.151, 7
QTo, 0.2812, 0.0008892, 3.222, 7
QTs, 0.6586, 0.002083, 3.617, 7
T2o, -0.4167, -0.001318, 2.233, 7
T2s, -0.01843, -5.827e-05, 2.891, 7
T3o, -0.3966, -0.001254, 2.255, 7
T3s, 0.003098, 9.798e-06, 2.910, 7
T4o, -0.3728, -0.001179, 2.288, 7
T4s, 0.01402, 4.434e-05, 2.913, 7
T5o, -0.3646, -0.001153, 2.287, 7
T5s, 0.02592, 8.196e-05, 2.918, 7
T6o, -0.2503, -0.0007915, 2.495, 7
T6s, 0.1288, 0.0004074, 3.057, 7
T7o, -0.1216, -0.0003844, 2.700, 7
T7s, 0.2564, 0.0008107, 3.211, 7
T8o, -0.01620, -5.123e-05, 2.852, 7
T8s, 0.3670, 0.001161, 3.331, 7
T9o, 0.1290, 0.0004081, 3.044, 7
T9s, 0.4801, 0.001518, 3.447, 7
TT, 0.6898, 0.002181, 3.712, 7
HandType, Income Rate, Error, SD, Iteration
32o, -0.4264, -0.001348, 2.257, 8
22, 0.2114, 0.0006686, 3.254, 8
32s, -0.1001, -0.0003165, 2.811, 8
33, 0.2035, 0.0006436, 3.238, 8
42o, -0.3996, -0.001264, 2.298, 8
42s, -0.04510, -0.0001426, 2.878, 8
43o, -0.3119, -0.0009864, 2.446, 8
43s, 0.04061, 0.0001284, 2.989, 8
52o, -0.3653, -0.001155, 2.351, 8
44, 0.2221, 0.0007022, 3.253, 8
52s, -0.01369, -4.328e-05, 2.915, 8
53o, -0.2611, -0.0008258, 2.523, 8
54o, -0.1783, -0.0005637, 2.647, 8
53s, 0.09674, 0.0003059, 3.050, 8
55, 0.2354, 0.0007443, 3.259, 8
54s, 0.1731, 0.0005474, 3.136, 8
62o, -0.4501, -0.001423, 2.192, 8
62s, -0.1008, -0.0003186, 2.792, 8
63s, 0.006623, 2.094e-05, 2.939, 8
63o, -0.3482, -0.001101, 2.373, 8
64o, -0.2403, -0.0007599, 2.553, 8
64s, 0.1054, 0.0003333, 3.058, 8
65o, -0.1519, -0.0004804, 2.682, 8
65s, 0.2129, 0.0006733, 3.180, 8
66, 0.2936, 0.0009285, 3.326, 8
72o, -0.5103, -0.001614, 2.057, 8
72s, -0.1652, -0.0005223, 2.694, 8
73o, -0.4129, -0.001306, 2.248, 8
73s, -0.06507, -0.0002058, 2.835, 8
74o, -0.3052, -0.0009652, 2.440, 8
74s, 0.05484, 0.0001734, 2.990, 8
75o, -0.2114, -0.0006685, 2.585, 8
75s, 0.1315, 0.0004157, 3.079, 8
76o, -0.1267, -0.0004006, 2.719, 8
76s, 0.2257, 0.0007137, 3.187, 8
77, 0.3754, 0.001187, 3.417, 8
82o, -0.5062, -0.001601, 2.071, 8
82s, -0.1093, -0.0003456, 2.778, 8
83o, -0.4778, -0.001511, 2.111, 8
83s, -0.1265, -0.0004002, 2.737, 8
84o, -0.3972, -0.001256, 2.269, 8
84s, -0.002813, -8.895e-06, 2.912, 8
85o, -0.2756, -0.0008717, 2.476, 8
85s, 0.08899, 0.0002814, 3.023, 8
86o, -0.1744, -0.0005516, 2.639, 8
86s, 0.1931, 0.0006107, 3.151, 8
87o, -0.07707, -0.0002437, 2.782, 8
87s, 0.2696, 0.0008526, 3.239, 8
88, 0.4509, 0.001426, 3.493, 8
92o, -0.4743, -0.001500, 2.133, 8
92s, -0.07910, -0.0002502, 2.822, 8
93o, -0.4426, -0.001400, 2.182, 8
93s, -0.03807, -0.0001204, 2.868, 8
94o, -0.4306, -0.001362, 2.191, 8
94s, -0.06157, -0.0001947, 2.826, 8
95o, -0.3238, -0.001024, 2.382, 8
95s, 0.04660, 0.0001474, 2.964, 8
96o, -0.2272, -0.0007186, 2.549, 8
97o, -0.1133, -0.0003583, 2.735, 8
96s, 0.1568, 0.0004958, 3.106, 8
97s, 0.2629, 0.0008314, 3.228, 8
98o, -0.01377, -4.353e-05, 2.873, 8
98s, 0.3499, 0.001106, 3.327, 8
99, 0.5524, 0.001747, 3.594, 8
A2o, -0.1087, -0.0003436, 2.765, 8
A2s, 0.3359, 0.001062, 3.337, 8
A3o, -0.05372, -0.0001699, 2.829, 8
A3s, 0.3831, 0.001211, 3.377, 8
A4o, -0.01725, -5.456e-05, 2.864, 8
A4s, 0.4180, 0.001322, 3.395, 8
A5o, 0.001879, 5.943e-06, 2.875, 8
A5s, 0.4364, 0.001380, 3.405, 8
A6o, -0.03200, -0.0001012, 2.829, 8
A6s, 0.4089, 0.001293, 3.380, 8
A7o, 0.001547, 4.893e-06, 2.875, 8
A7s, 0.4290, 0.001356, 3.396, 8
A8o, 0.04422, 0.0001398, 2.934, 8
A8s, 0.4897, 0.001548, 3.463, 8
A9o, 0.09331, 0.0002951, 3.005, 8
A9s, 0.5235, 0.001655, 3.498, 8
AA, 2.114, 0.006685, 4.619, 8
AJo, 0.4137, 0.001308, 3.375, 8
AJs, 0.7650, 0.002419, 3.714, 8
AKo, 0.6499, 0.002055, 3.611, 8
AKs, 0.9816, 0.003104, 3.893, 8
AQo, 0.5083, 0.001607, 3.470, 8
AQs, 0.8442, 0.002670, 3.787, 8
ATo, 0.3296, 0.001042, 3.281, 8
ATs, 0.7347, 0.002323, 3.686, 8
J2o, -0.3799, -0.001201, 2.314, 8
J2s, 0.01691, 5.349e-05, 2.945, 8
J3o, -0.3691, -0.001167, 2.316, 8
J3s, 0.05561, 0.0001759, 2.990, 8
J4o, -0.3160, -0.0009991, 2.395, 8
J4s, 0.07073, 0.0002237, 2.997, 8
J5o, -0.3139, -0.0009927, 2.390, 8
J5s, 0.09366, 0.0002962, 3.016, 8
J6o, -0.2735, -0.0008650, 2.455, 8
J6s, 0.1239, 0.0003919, 3.044, 8
J7o, -0.1686, -0.0005331, 2.634, 8
J7s, 0.2174, 0.0006874, 3.165, 8
J8o, -0.04706, -0.0001488, 2.809, 8
J8s, 0.3523, 0.001114, 3.321, 8
J9o, 0.08905, 0.0002816, 2.999, 8
J9s, 0.4586, 0.001450, 3.430, 8
JJ, 0.9363, 0.002961, 3.924, 8
JTo, 0.2914, 0.0009214, 3.234, 8
JTs, 0.6396, 0.002022, 3.600, 8
K2o, -0.2488, -0.0007866, 2.557, 8
K2s, 0.1906, 0.0006028, 3.176, 8
K3o, -0.2261, -0.0007149, 2.571, 8
K3s, 0.1989, 0.0006290, 3.171, 8
K4o, -0.1870, -0.0005914, 2.620, 8
K4s, 0.2522, 0.0007975, 3.223, 8
K5o, -0.1556, -0.0004921, 2.653, 8
K5s, 0.2591, 0.0008192, 3.219, 8
K6o, -0.1445, -0.0004569, 2.670, 8
K6s, 0.2714, 0.0008581, 3.229, 8
K7o, -0.09666, -0.0003057, 2.738, 8
K7s, 0.3036, 0.0009602, 3.264, 8
K8o, -0.05001, -0.0001581, 2.809, 8
K8s, 0.3406, 0.001077, 3.307, 8
K9o, 0.08991, 0.0002843, 2.999, 8
K9s, 0.4793, 0.001516, 3.456, 8
KJo, 0.3849, 0.001217, 3.345, 8
KJs, 0.7241, 0.002290, 3.682, 8
KK, 1.603, 0.005068, 4.372, 8
KQo, 0.4747, 0.001501, 3.444, 8
KQs, 0.7995, 0.002528, 3.748, 8
KTo, 0.2856, 0.0009031, 3.230, 8
KTs, 0.6587, 0.002083, 3.622, 8
Q2o, -0.3300, -0.001043, 2.414, 8
Q2s, 0.09204, 0.0002911, 3.050, 8
Q3o, -0.3026, -0.0009569, 2.444, 8
Q3s, 0.1165, 0.0003684, 3.069, 8
Q4o, -0.2655, -0.0008397, 2.491, 8
Q4s, 0.1399, 0.0004425, 3.087, 8
Q5o, -0.2591, -0.0008195, 2.487, 8
Q5s, 0.1622, 0.0005128, 3.103, 8
Q6o, -0.2264, -0.0007160, 2.536, 8
Q6s, 0.1937, 0.0006126, 3.140, 8
Q7o, -0.1901, -0.0006011, 2.593, 8
Q7s, 0.2214, 0.0007002, 3.171, 8
Q8o, -0.08363, -0.0002645, 2.767, 8
Q8s, 0.3280, 0.001037, 3.295, 8
Q9o, 0.07256, 0.0002295, 2.976, 8
Q9s, 0.4598, 0.001454, 3.433, 8
QJo, 0.3374, 0.001067, 3.289, 8
QJs, 0.7230, 0.002286, 3.676, 8
QQ, 1.217, 0.003848, 4.133, 8
QTo, 0.2771, 0.0008762, 3.216, 8
QTs, 0.6523, 0.002063, 3.608, 8
T2o, -0.4254, -0.001345, 2.218, 8
T2s, -0.008477, -2.681e-05, 2.910, 8
T3o, -0.4064, -0.001285, 2.239, 8
T3s, 0.006280, 1.986e-05, 2.914, 8
T4o, -0.3778, -0.001195, 2.278, 8
T4s, 0.02996, 9.474e-05, 2.934, 8
T5o, -0.3681, -0.001164, 2.291, 8
T5s, 0.03720, 0.0001177, 2.934, 8
T6o, -0.2526, -0.0007989, 2.498, 8
T6s, 0.1419, 0.0004489, 3.073, 8
T7o, -0.1278, -0.0004041, 2.692, 8
T7s, 0.2613, 0.0008264, 3.212, 8
T8o, 0.005156, 1.630e-05, 2.883, 8
T8s, 0.3699, 0.001170, 3.338, 8
T9o, 0.1408, 0.0004453, 3.063, 8
T9s, 0.4918, 0.001555, 3.462, 8
TT, 0.7347, 0.002323, 3.753, 8
HandType, Income Rate, Error, SD, Iteration
32o, -0.4436, -0.001403, 2.224, 9
22, 0.1998, 0.0006317, 3.240, 9
32s, -0.09055, -0.0002863, 2.823, 9
33, 0.2215, 0.0007004, 3.257, 9
42o, -0.4089, -0.001293, 2.278, 9
42s, -0.03392, -0.0001073, 2.893, 9
43o, -0.3232, -0.001022, 2.426, 9
43s, 0.03841, 0.0001215, 2.984, 9
44, 0.2211, 0.0006992, 3.253, 9
52o, -0.3757, -0.001188, 2.330, 9
52s, -0.007263, -2.297e-05, 2.919, 9
53o, -0.2710, -0.0008568, 2.504, 9
53s, 0.07455, 0.0002357, 3.023, 9
54o, -0.1781, -0.0005633, 2.643, 9
54s, 0.1675, 0.0005297, 3.131, 9
55, 0.2383, 0.0007535, 3.263, 9
62o, -0.4497, -0.001422, 2.195, 9
62s, -0.07997, -0.0002529, 2.825, 9
63s, 0.01224, 3.870e-05, 2.943, 9
63o, -0.3494, -0.001105, 2.377, 9
64o, -0.2548, -0.0008056, 2.534, 9
64s, 0.09468, 0.0002994, 3.044, 9
65o, -0.1386, -0.0004382, 2.706, 9
65s, 0.1984, 0.0006275, 3.165, 9
66, 0.3223, 0.001019, 3.360, 9
72o, -0.5235, -0.001655, 2.030, 9
72s, -0.1497, -0.0004734, 2.719, 9
73o, -0.4187, -0.001324, 2.242, 9
73s, -0.05142, -0.0001626, 2.851, 9
74o, -0.3125, -0.0009883, 2.425, 9
74s, 0.04215, 0.0001333, 2.973, 9
75o, -0.1959, -0.0006196, 2.609, 9
75s, 0.1740, 0.0005503, 3.131, 9
76o, -0.1307, -0.0004133, 2.708, 9
76s, 0.2298, 0.0007267, 3.198, 9
77, 0.3552, 0.001123, 3.394, 9
82o, -0.5098, -0.001612, 2.061, 9
82s, -0.1386, -0.0004382, 2.734, 9
83o, -0.4680, -0.001480, 2.135, 9
83s, -0.09173, -0.0002901, 2.793, 9
84o, -0.3754, -0.001187, 2.308, 9
84s, -0.01729, -5.467e-05, 2.894, 9
85o, -0.2572, -0.0008132, 2.510, 9
85s, 0.1049, 0.0003316, 3.042, 9
86o, -0.1681, -0.0005316, 2.653, 9
86s, 0.2013, 0.0006365, 3.162, 9
87o, -0.06179, -0.0001954, 2.809, 9
87s, 0.2788, 0.0008816, 3.250, 9
88, 0.4529, 0.001432, 3.495, 9
92o, -0.4620, -0.001461, 2.158, 9
92s, -0.08367, -0.0002646, 2.812, 9
93o, -0.4531, -0.001433, 2.164, 9
93s, -0.06288, -0.0001988, 2.831, 9
94o, -0.4347, -0.001375, 2.183, 9
94s, -0.05350, -0.0001692, 2.835, 9
95o, -0.3409, -0.001078, 2.358, 9
95s, 0.04409, 0.0001394, 2.963, 9
96o, -0.2317, -0.0007327, 2.545, 9
96s, 0.1532, 0.0004846, 3.099, 9
97o, -0.1049, -0.0003318, 2.743, 9
97s, 0.2654, 0.0008393, 3.233, 9
98o, -0.01902, -6.013e-05, 2.865, 9
98s, 0.3350, 0.001059, 3.310, 9
99, 0.5713, 0.001806, 3.613, 9
A2o, -0.1009, -0.0003190, 2.779, 9
A2s, 0.3190, 0.001009, 3.321, 9
A3o, -0.03794, -0.0001200, 2.849, 9
A3s, 0.3902, 0.001234, 3.384, 9
A4o, -0.02550, -8.065e-05, 2.854, 9
A4s, 0.4265, 0.001349, 3.409, 9
A5o, 0.008347, 2.639e-05, 2.886, 9
A5s, 0.4591, 0.001452, 3.431, 9
A6o, -0.04750, -0.0001502, 2.805, 9
A6s, 0.3928, 0.001242, 3.360, 9
A7o, 0.0001217, 3.847e-07, 2.876, 9
A7s, 0.4427, 0.001400, 3.410, 9
A8o, 0.04725, 0.0001494, 2.940, 9
A8s, 0.4783, 0.001513, 3.447, 9
A9o, 0.1183, 0.0003741, 3.035, 9
A9s, 0.5349, 0.001692, 3.508, 9
AA, 2.124, 0.006718, 4.622, 9
AJo, 0.3884, 0.001228, 3.348, 9
AJs, 0.7821, 0.002473, 3.736, 9
AKo, 0.6278, 0.001985, 3.591, 9
AKs, 0.9792, 0.003096, 3.898, 9
AQo, 0.4908, 0.001552, 3.456, 9
AQs, 0.8721, 0.002758, 3.809, 9
ATo, 0.3203, 0.001013, 3.265, 9
ATs, 0.6961, 0.002201, 3.653, 9
J2o, -0.3765, -0.001191, 2.321, 9
J2s, 0.02936, 9.286e-05, 2.964, 9
J3o, -0.3632, -0.001148, 2.328, 9
J3s, 0.05649, 0.0001786, 2.987, 9
J4o, -0.3345, -0.001058, 2.363, 9
J4s, 0.05404, 0.0001709, 2.974, 9
J5o, -0.3052, -0.0009653, 2.401, 9
J5s, 0.09775, 0.0003091, 3.019, 9
J6o, -0.2840, -0.0008981, 2.438, 9
J6s, 0.1100, 0.0003479, 3.033, 9
J7o, -0.1809, -0.0005721, 2.614, 9
J7s, 0.2229, 0.0007050, 3.173, 9
J8o, -0.05295, -0.0001674, 2.806, 9
J8s, 0.3293, 0.001041, 3.294, 9
J9o, 0.08021, 0.0002537, 2.984, 9
J9s, 0.4452, 0.001408, 3.415, 9
JJ, 0.9456, 0.002990, 3.930, 9
JTo, 0.3117, 0.0009858, 3.252, 9
JTs, 0.6600, 0.002087, 3.618, 9
K2o, -0.2475, -0.0007826, 2.553, 9
K2s, 0.2057, 0.0006503, 3.193, 9
K3o, -0.2145, -0.0006783, 2.592, 9
K3s, 0.2189, 0.0006922, 3.195, 9
K4o, -0.2078, -0.0006573, 2.581, 9
K4s, 0.2338, 0.0007393, 3.199, 9
K5o, -0.1527, -0.0004830, 2.657, 9
K5s, 0.2671, 0.0008448, 3.226, 9
K6o, -0.1245, -0.0003936, 2.698, 9
K6s, 0.2945, 0.0009312, 3.255, 9
K7o, -0.1063, -0.0003360, 2.726, 9
K7s, 0.3128, 0.0009891, 3.279, 9
K8o, -0.06354, -0.0002009, 2.791, 9
K8s, 0.3626, 0.001147, 3.326, 9
K9o, 0.08333, 0.0002635, 2.992, 9
K9s, 0.4756, 0.001504, 3.454, 9
KJo, 0.3326, 0.001052, 3.287, 9
KJs, 0.7369, 0.002330, 3.692, 9
KK, 1.639, 0.005183, 4.392, 9
KQo, 0.4694, 0.001484, 3.436, 9
KQs, 0.7980, 0.002523, 3.746, 9
KTo, 0.2964, 0.0009372, 3.241, 9
Q2o, -0.3356, -0.001061, 2.404, 9
KTs, 0.6909, 0.002185, 3.650, 9
Q2s, 0.09641, 0.0003049, 3.056, 9
Q3o, -0.2906, -0.0009188, 2.464, 9
Q3s, 0.1158, 0.0003663, 3.068, 9
Q4o, -0.2625, -0.0008301, 2.495, 9
Q4s, 0.1519, 0.0004805, 3.099, 9
Q5o, -0.2638, -0.0008341, 2.476, 9
Q5s, 0.1791, 0.0005664, 3.122, 9
Q6o, -0.2232, -0.0007059, 2.542, 9
Q6s, 0.2016, 0.0006376, 3.147, 9
Q7o, -0.1961, -0.0006200, 2.588, 9
Q7s, 0.2030, 0.0006418, 3.149, 9
Q8o, -0.07516, -0.0002377, 2.777, 9
Q9o, 0.06069, 0.0001919, 2.963, 9
Q8s, 0.3356, 0.001061, 3.305, 9
Q9s, 0.4402, 0.001392, 3.412, 9
QJo, 0.3673, 0.001161, 3.320, 9
QJs, 0.7165, 0.002266, 3.672, 9
QQ, 1.206, 0.003813, 4.125, 9
QTo, 0.2748, 0.0008689, 3.213, 9
QTs, 0.6643, 0.002101, 3.617, 9
T2o, -0.4160, -0.001316, 2.235, 9
T2s, -0.02525, -7.985e-05, 2.884, 9
T3o, -0.4084, -0.001291, 2.233, 9
T3s, -0.01882, -5.951e-05, 2.882, 9
T4o, -0.3701, -0.001170, 2.288, 9
T4s, 0.02475, 7.828e-05, 2.931, 9
T5o, -0.3507, -0.001109, 2.309, 9
T5s, 0.03736, 0.0001181, 2.937, 9
T6o, -0.2618, -0.0008280, 2.479, 9
T6s, 0.1132, 0.0003578, 3.040, 9
T7o, -0.1323, -0.0004184, 2.685, 9
T7s, 0.2371, 0.0007497, 3.190, 9
T8o, -0.006779, -2.144e-05, 2.869, 9
T8s, 0.3556, 0.001124, 3.320, 9
T9o, 0.1412, 0.0004466, 3.062, 9
T9s, 0.5006, 0.001583, 3.468, 9
TT, 0.7169, 0.002267, 3.736, 9
